Gene Group 1	Enrichment Score:  2.7536713932842005
ID	Gene Name
1743_s_at, 1866_g_at	SKI-like oncogene
35160_at	LIM domain binding 1
31353_f_at	forkhead box E1 (thyroid transcription factor 2)
1994_at	activating transcription factor 2
224_at, 38374_at	Kruppel-like factor 10
36669_at	FBJ murine osteosarcoma viral oncogene homolog B
39698_at	HOP homeobox
41505_r_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)
274_at	zinc finger protein 148
41499_at	v-ski sarcoma viral oncogene homolog (avian)
32928_at	POU class 2 homeobox 3
40790_at	basic helix-loop-helix family, member e40
31741_at	paired box 4
41216_r_at	inhibitor of DNA binding 2, dominant negative helix-loop-helix protein
32872_at	transcription factor 4
41387_r_at	lysine (K)-specific demethylase 6B
789_at	early growth response 1
41234_at	DnaJ (Hsp40) homolog, subfamily B, member 6

Gene Group 2	Enrichment Score:  2.689218324139054
ID	Gene Name
32872_at	transcription factor 4
1242_at	Ets2 repressor factor
1774_at	MAX dimerization protein 1
37418_at	POU class 2 homeobox 2
38491_at	ets variant 6
36226_r_at	splicing factor proline/glutamine-rich (polypyrimidine tract binding protein associated)
40790_at	basic helix-loop-helix family, member e40
36507_at	zinc finger protein 282
36711_at	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)
33539_at	myelin expression factor 2
1244_at	signal transducer and activator of transcription 2, 113kDa
287_at	activating transcription factor 3
35992_at	musculin (activated B-cell factor-1)

Gene Group 3	Enrichment Score:  2.6614933637361733
ID	Gene Name
1369_s_at, 35372_r_at	interleukin 8
408_at	chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha)
36103_at	chemokine (C-C motif) ligand 3
32464_at	defensin, beta 4
40385_at	chemokine (C-C motif) ligand 20
36674_at	chemokine (C-C motif) ligand 4-like 1; chemokine (C-C motif) ligand 4-like 2
875_g_at, 34375_at	chemokine (C-C motif) ligand 2

Gene Group 4	Enrichment Score:  2.338256883346435
